CustomerID,Date (dd/mm/yyyy),Sum of Day,Sum of Discount Value,Sum of Month,Order Count,Sum of Net Sales,Sum of Price Per Unit(USD),Product ID,Sum of Profit,Sum of Promotion Discount,PromotionID,Sum of Total Sales,Sum of Units Sold,Sum of Year
1,2020-01-30 00:00:00,30,0,1,29,2299,2299,P018,229.9,0,0,2299,1,2020
1,2020-02-11 00:00:00,11,0,2,59,4497,1499,P011,449.70000000000005,0,0,4497,3,2020
1,2020-02-28 00:00:00,28,0,2,87,4398,2199,P010,439.8,0,0,4398,2,2020
1,2020-03-07 00:00:00,7,0,3,160,20998,10499,P017,2099.8,0,0,20998,2,2020
1,2020-03-17 00:00:00,17,0,3,207,5998,2999,P012,599.8000000000001,0,0,5998,2,2020
1,2020-04-20 00:00:00,20,13999.800000000001,4,222,69998.8,69999,P002,6999.880000000001,0.2,PR001,69999,1,2020
1,2020-04-30 00:00:00,30,879.6,4,268,4397.8,2199,P010,439.78000000000003,0.2,PR001,4398,2,2020
1,2020-05-02 00:00:00,2,5199.6,5,310,25997.8,12999,P020,2599.78,0.2,PR001,25998,2,2020
1,2020-05-22 00:00:00,22,2599.8,5,424,12998.8,12999,P020,1299.88,0.2,PR001,12999,1,2020
1,2020-06-01 00:00:00,1,0,6,435,89999,89999,P003,8999.9,0,0,89999,1,2020
1,2020-06-02 00:00:00,2,0,6,496,47997,15999,P013,4799.7,0,0,47997,3,2020
1,2020-06-15 00:00:00,15,0,6,506,4497,1499,P011,449.70000000000005,0,0,4497,3,2020
1,2020-06-24 00:00:00,24,0,6,553,4497,1499,P011,449.70000000000005,0,0,4497,3,2020
1,2020-06-28 00:00:00,28,0,6,561,10497,3499,P009,1049.7,0,0,10497,3,2020
1,2020-07-18 00:00:00,18,199.5,7,752,398.5,399,P030,39.85,0.5,PR004,399,1,2020
1,2020-07-30 00:00:00,30,0,7,788,10998,5499,P008,1099.8,0,0,10998,2,2020
1,2020-09-01 00:00:00,1,0,9,811,12999,12999,P020,1299.9,0,0,12999,1,2020
1,2020-10-22 00:00:00,22,0,10,820,79999,79999,P001,7999.900000000001,0,0,79999,1,2020
1,2020-11-07 00:00:00,7,0,11,882,24999,24999,P016,2499.9,0,0,24999,1,2020
1,2020-12-08 00:00:00,8,0,12,894,89999,89999,P003,8999.9,0,0,89999,1,2020
1,2020-12-16 00:00:00,16,0,12,925,5997,1999,P022,599.7,0,0,5997,3,2020
1,2020-12-19 00:00:00,19,0,12,956,79999,79999,P001,7999.900000000001,0,0,79999,1,2020
1,2020-12-21 00:00:00,21,0,12,963,22497,7499,P006,2249.7000000000003,0,0,22497,3,2020
1,2021-01-02 00:00:00,2,0,1,996,2998,1499,P011,299.8,0,0,2998,2,2021
1,2021-01-11 00:00:00,11,0,1,1000,198,99,P029,19.8,0,0,198,2,2021
1,2021-01-16 00:00:00,16,0,1,1084,9998,4999,P014,999.8000000000001,0,0,9998,2,2021
1,2021-01-20 00:00:00,20,0,1,1085,349,349,P028,34.9,0,0,349,1,2021
1,2021-02-03 00:00:00,3,0,2,1103,16998,8499,P015,1699.8000000000002,0,0,16998,2,2021
1,2021-02-18 00:00:00,18,0,2,1107,194997,64999,P004,19499.7,0,0,194997,3,2021
1,2021-03-20 00:00:00,20,0,3,1238,6999,6999,P007,699.9000000000001,0,0,6999,1,2021
1,2021-04-01 00:00:00,1,1999.6000000000001,4,1256,9997.8,4999,P014,999.78,0.2,PR001,9998,2,2021
1,2021-04-23 00:00:00,23,299.8,4,1290,1498.8,1499,P011,149.88,0.2,PR001,1499,1,2021
1,2021-05-11 00:00:00,11,1699.8000000000002,5,1352,8498.8,8499,P015,849.88,0.2,PR001,8499,1,2021
1,2021-06-07 00:00:00,7,0,6,1366,194997,64999,P004,19499.7,0,0,194997,3,2021
1,2021-06-12 00:00:00,12,0,6,1431,139998,69999,P002,13999.800000000001,0,0,139998,2,2021
1,2021-07-15 00:00:00,15,0,7,1444,8999,8999,P025,899.9000000000001,0,0,8999,1,2021
1,2021-09-03 00:00:00,3,0,9,1474,209997,69999,P002,20999.7,0,0,209997,3,2021
1,2021-09-07 00:00:00,7,0,9,1564,92499,92499,P005,9249.9,0,0,92499,1,2021
1,2021-11-22 00:00:00,22,0,11,1600,8499,8499,P015,849.9000000000001,0,0,8499,1,2021
1,2021-12-13 00:00:00,13,0,12,1625,16497,5499,P008,1649.7,0,0,16497,3,2021
1,2021-12-21 00:00:00,21,0,12,1653,1197,399,P030,119.7,0,0,1197,3,2021
1,2021-12-30 00:00:00,30,0,12,1711,12999,12999,P020,1299.9,0,0,12999,1,2021
1,2021-12-30 00:00:00,30,0,12,1732,198,99,P029,19.8,0,0,198,2,2021
1,2021-12-31 00:00:00,31,0,12,1806,16497,5499,P008,1649.7,0,0,16497,3,2021
1,2022-01-05 00:00:00,5,0,1,1849,24999,24999,P016,2499.9,0,0,24999,1,2022
1,2022-01-12 00:00:00,12,0,1,1894,2199,2199,P010,219.9,0,0,2199,1,2022
1,2022-01-25 00:00:00,25,0,1,1916,26997,8999,P025,2699.7000000000003,0,0,26997,3,2022
1,2022-02-04 00:00:00,4,0,2,2036,12999,12999,P020,1299.9,0,0,12999,1,2022
1,2022-05-05 00:00:00,5,2099.4,5,2045,10496.8,3499,P009,1049.68,0.2,PR001,10497,3,2022
1,2022-06-09 00:00:00,9,0,6,2112,99,99,P029,9.9,0,0,99,1,2022
1,2022-06-15 00:00:00,15,0,6,2123,16497,5499,P008,1649.7,0,0,16497,3,2022
1,2022-07-03 00:00:00,3,23998.5,7,2156,47996.5,15999,P013,4799.650000000001,0.5,PR004,47997,3,2022
1,2022-07-13 00:00:00,13,0,7,2188,10998,5499,P008,1099.8,0,0,10998,2,2022
1,2022-07-18 00:00:00,18,0,7,2247,6998,3499,P009,699.8000000000001,0,0,6998,2,2022
1,2022-08-11 00:00:00,11,0,8,2250,277497,92499,P005,27749.7,0,0,277497,3,2022
1,2022-08-24 00:00:00,24,0,8,2316,92499,92499,P005,9249.9,0,0,92499,1,2022
1,2022-08-25 00:00:00,25,0,8,2457,9998,4999,P014,999.8000000000001,0,0,9998,2,2022
1,2022-09-23 00:00:00,23,0,9,2477,47997,15999,P013,4799.7,0,0,47997,3,2022
1,2022-10-02 00:00:00,2,0,10,2486,8397,2799,P024,839.7,0,0,8397,3,2022
1,2022-10-23 00:00:00,23,0,10,2500,184998,92499,P005,18499.8,0,0,184998,2,2022
1,2022-10-27 00:00:00,27,0,10,2521,277497,92499,P005,27749.7,0,0,277497,3,2022
1,2022-11-27 00:00:00,27,0,11,2644,74997,24999,P016,7499.700000000001,0,0,74997,3,2022
1,2022-12-18 00:00:00,18,0,12,2833,38997,12999,P020,3899.7000000000003,0,0,38997,3,2022
1,2023-01-08 00:00:00,8,0,1,2851,10497,3499,P009,1049.7,0,0,10497,3,2023
1,2023-01-09 00:00:00,9,0,1,2898,8499,8499,P015,849.9000000000001,0,0,8499,1,2023
1,2023-01-09 00:00:00,9,0,1,2964,10499,10499,P017,1049.9,0,0,10499,1,2023
1,2023-03-19 00:00:00,19,0,3,3012,69999,69999,P002,6999.900000000001,0,0,69999,1,2023
1,2023-04-04 00:00:00,4,2399.6,4,3017,11997.8,5999,P019,1199.78,0.2,PR001,11998,2,2023
1,2023-05-14 00:00:00,14,279.6,5,3038,1397.8,699,P027,139.78,0.2,PR001,1398,2,2023
1,2023-05-25 00:00:00,25,1099.8,5,3051,5498.8,5499,P026,549.88,0.2,PR001,5499,1,2023
1,2023-06-02 00:00:00,2,0,6,3059,179998,89999,P003,17999.8,0,0,179998,2,2023
1,2023-06-06 00:00:00,6,0,6,3129,399,399,P030,39.900000000000006,0,0,399,1,2023
1,2023-06-19 00:00:00,19,0,6,3217,79999,79999,P001,7999.900000000001,0,0,79999,1,2023
1,2023-07-26 00:00:00,26,0,7,3218,129998,64999,P004,12999.800000000001,0,0,129998,2,2023
1,2023-08-06 00:00:00,6,0,8,3326,74997,24999,P016,7499.700000000001,0,0,74997,3,2023
1,2023-09-17 00:00:00,17,0,9,3404,92499,92499,P005,9249.9,0,0,92499,1,2023
1,2023-10-25 00:00:00,25,0,10,3489,2799,2799,P024,279.90000000000003,0,0,2799,1,2023
1,2023-11-20 00:00:00,20,0,11,3496,38997,12999,P020,3899.7000000000003,0,0,38997,3,2023
10,2020-01-09 00:00:00,9,0,1,3068,22497,7499,P006,2249.7000000000003,0,0,22497,3,2020
10,2020-01-19 00:00:00,19,0,1,3454,269997,89999,P003,26999.7,0,0,269997,3,2020
10,2020-01-21 00:00:00,21,0,1,1452,9998,4999,P014,999.8000000000001,0,0,9998,2,2020
10,2020-02-04 00:00:00,4,0,2,1,129998,64999,P004,12999.800000000001,0,0,129998,2,2020
10,2020-02-11 00:00:00,11,0,2,200,9998,4999,P014,999.8000000000001,0,0,9998,2,2020
10,2020-02-23 00:00:00,23,0,2,3147,2998,1499,P023,299.8,0,0,2998,2,2020
10,2020-03-20 00:00:00,20,0,3,724,10998,5499,P026,1099.8,0,0,10998,2,2020
10,2020-04-15 00:00:00,15,1999.6000000000001,4,625,9997.8,4999,P014,999.78,0.2,PR001,9998,2,2020
10,2020-04-28 00:00:00,28,79.80000000000001,4,1739,398.8,399,P030,39.88,0.2,PR001,399,1,2020
10,2020-06-18 00:00:00,18,0,6,2368,6597,2199,P010,659.7,0,0,6597,3,2020
10,2020-07-26 00:00:00,26,37498.5,7,2972,74996.5,24999,P016,7499.650000000001,0.5,PR004,74997,3,2020
10,2020-07-28 00:00:00,28,0,7,2997,3499,3499,P009,349.90000000000003,0,0,3499,1,2020
10,2020-08-05 00:00:00,5,0,8,1188,5499,5499,P026,549.9,0,0,5499,1,2020
10,2020-08-15 00:00:00,15,0,8,863,3499,3499,P009,349.90000000000003,0,0,3499,1,2020
10,2020-08-28 00:00:00,28,0,8,2280,74997,24999,P016,7499.700000000001,0,0,74997,3,2020
10,2020-09-11 00:00:00,11,0,9,2041,2998,1499,P011,299.8,0,0,2998,2,2020
10,2020-09-24 00:00:00,24,0,9,2439,2799,2799,P024,279.90000000000003,0,0,2799,1,2020
10,2020-10-22 00:00:00,22,0,10,2714,1197,399,P030,119.7,0,0,1197,3,2020
10,2020-11-05 00:00:00,5,0,11,1120,5598,2799,P024,559.8000000000001,0,0,5598,2,2020
10,2020-11-21 00:00:00,21,0,11,926,5997,1999,P022,599.7,0,0,5997,3,2020
10,2020-12-02 00:00:00,2,0,12,1294,69999,69999,P002,6999.900000000001,0,0,69999,1,2020
10,2021-01-14 00:00:00,14,0,1,747,349,349,P028,34.9,0,0,349,1,2021
10,2021-01-20 00:00:00,20,0,1,2693,139998,69999,P002,13999.800000000001,0,0,139998,2,2021
10,2021-03-01 00:00:00,1,0,3,428,4598,2299,P018,459.8,0,0,4598,2,2021
10,2021-03-16 00:00:00,16,0,3,3021,22497,7499,P006,2249.7000000000003,0,0,22497,3,2021
10,2021-03-26 00:00:00,26,0,3,2816,5499,5499,P026,549.9,0,0,5499,1,2021
10,2021-05-01 00:00:00,1,1319.4,5,2902,6596.8,2199,P010,659.6800000000001,0.2,PR001,6597,3,2021
10,2021-06-18 00:00:00,18,0,6,503,399,399,P030,39.900000000000006,0,0,399,1,2021
10,2021-09-06 00:00:00,6,0,9,3437,24999,24999,P016,2499.9,0,0,24999,1,2021
10,2021-10-04 00:00:00,4,0,10,2700,10998,5499,P008,1099.8,0,0,10998,2,2021
10,2021-10-07 00:00:00,7,0,10,3252,64999,64999,P004,6499.900000000001,0,0,64999,1,2021
10,2021-11-13 00:00:00,13,0,11,76,6897,2299,P018,689.7,0,0,6897,3,2021
10,2021-12-17 00:00:00,17,0,12,872,47997,15999,P013,4799.7,0,0,47997,3,2021
10,2022-02-15 00:00:00,15,0,2,1659,3998,1999,P022,399.8,0,0,3998,2,2022
10,2022-02-18 00:00:00,18,0,2,779,31497,10499,P017,3149.7000000000003,0,0,31497,3,2022
10,2022-02-21 00:00:00,21,0,2,3487,20998,10499,P017,2099.8,0,0,20998,2,2022
10,2022-03-10 00:00:00,10,0,3,1926,8499,8499,P015,849.9000000000001,0,0,8499,1,2022
10,2022-03-22 00:00:00,22,0,3,2652,4497,1499,P011,449.70000000000005,0,0,4497,3,2022
10,2022-04-25 00:00:00,25,1799.4,4,1518,8996.8,2999,P012,899.68,0.2,PR001,8997,3,2022
10,2022-05-22 00:00:00,22,1499.8000000000002,5,2576,7498.8,7499,P006,749.8800000000001,0.2,PR001,7499,1,2022
10,2022-06-04 00:00:00,4,0,6,477,1197,399,P030,119.7,0,0,1197,3,2022
10,2022-06-14 00:00:00,14,0,6,2164,6999,6999,P007,699.9000000000001,0,0,6999,1,2022
10,2022-06-25 00:00:00,25,0,6,599,6999,6999,P007,699.9000000000001,0,0,6999,1,2022
10,2022-07-11 00:00:00,11,0,7,2389,2598,1299,P021,259.8,0,0,2598,2,2022
10,2022-09-04 00:00:00,4,0,9,1198,1999,1999,P022,199.9,0,0,1999,1,2022
10,2022-09-11 00:00:00,11,0,9,53,5999,5999,P019,599.9,0,0,5999,1,2022
10,2022-11-08 00:00:00,8,0,11,1592,139998,69999,P002,13999.800000000001,0,0,139998,2,2022
10,2023-02-19 00:00:00,19,0,2,1882,194997,64999,P004,19499.7,0,0,194997,3,2023
10,2023-02-25 00:00:00,25,0,2,737,3499,3499,P009,349.90000000000003,0,0,3499,1,2023
10,2023-03-06 00:00:00,6,0,3,1244,277497,92499,P005,27749.7,0,0,277497,3,2023
10,2023-03-30 00:00:00,30,0,3,2722,4497,1499,P011,449.70000000000005,0,0,4497,3,2023
10,2023-04-03 00:00:00,3,1199.8,4,2366,5998.8,5999,P019,599.88,0.2,PR001,5999,1,2023
10,2023-04-24 00:00:00,24,5399.400000000001,4,2093,26996.8,8999,P025,2699.6800000000003,0.2,PR001,26997,3,2023
10,2023-05-22 00:00:00,22,2399.6,5,587,11997.8,5999,P019,1199.78,0.2,PR001,11998,2,2023
10,2023-06-05 00:00:00,5,0,6,1922,16497,5499,P008,1649.7,0,0,16497,3,2023
10,2023-06-15 00:00:00,15,0,6,3044,194997,64999,P004,19499.7,0,0,194997,3,2023
10,2023-07-09 00:00:00,9,1499.5,7,2911,2998.5,2999,P012,299.85,0.5,PR004,2999,1,2023
10,2023-07-18 00:00:00,18,0,7,183,798,399,P030,79.80000000000001,0,0,798,2,2023
10,2023-08-10 00:00:00,10,0,8,1925,349,349,P028,34.9,0,0,349,1,2023
10,2023-08-12 00:00:00,12,0,8,3344,25497,8499,P015,2549.7000000000003,0,0,25497,3,2023
10,2023-09-03 00:00:00,3,0,9,1390,269997,89999,P003,26999.7,0,0,269997,3,2023
10,2023-09-12 00:00:00,12,0,9,304,17998,8999,P025,1799.8000000000002,0,0,17998,2,2023
10,2023-09-27 00:00:00,27,0,9,2111,5499,5499,P026,549.9,0,0,5499,1,2023
10,2023-11-02 00:00:00,2,0,11,2634,2097,699,P027,209.70000000000002,0,0,2097,3,2023
10,2023-11-10 00:00:00,10,0,11,3122,1999,1999,P022,199.9,0,0,1999,1,2023
10,2023-11-26 00:00:00,26,0,11,2945,1299,1299,P021,129.9,0,0,1299,1,2023
11,2020-01-09 00:00:00,9,0,1,1251,2799,2799,P024,279.90000000000003,0,0,2799,1,2020
11,2020-02-06 00:00:00,6,0,2,2301,64999,64999,P004,6499.900000000001,0,0,64999,1,2020
11,2020-03-05 00:00:00,5,0,3,1547,2998,1499,P023,299.8,0,0,2998,2,2020
11,2020-03-23 00:00:00,23,0,3,637,5499,5499,P026,549.9,0,0,5499,1,2020
11,2020-04-08 00:00:00,8,25999.600000000002,4,1006,129997.8,64999,P004,12999.78,0.2,PR001,129998,2,2020
11,2020-06-24 00:00:00,24,0,6,729,5499,5499,P026,549.9,0,0,5499,1,2020
11,2020-07-21 00:00:00,21,0,7,2201,74997,24999,P016,7499.700000000001,0,0,74997,3,2020
11,2020-08-25 00:00:00,25,0,8,321,1197,399,P030,119.7,0,0,1197,3,2020
11,2020-10-05 00:00:00,5,0,10,1939,159998,79999,P001,15999.800000000001,0,0,159998,2,2020
11,2020-10-21 00:00:00,21,0,10,2891,49998,24999,P016,4999.8,0,0,49998,2,2020
11,2020-10-26 00:00:00,26,0,10,3177,5997,1999,P022,599.7,0,0,5997,3,2020
11,2020-11-09 00:00:00,9,0,11,1593,2998,1499,P011,299.8,0,0,2998,2,2020
11,2020-11-29 00:00:00,29,0,11,877,194997,64999,P004,19499.7,0,0,194997,3,2020
11,2020-12-03 00:00:00,3,0,12,1495,26997,8999,P025,2699.7000000000003,0,0,26997,3,2020
11,2021-01-03 00:00:00,3,0,1,3031,209997,69999,P002,20999.7,0,0,209997,3,2021
11,2021-01-12 00:00:00,12,0,1,3119,3499,3499,P009,349.90000000000003,0,0,3499,1,2021
11,2021-01-18 00:00:00,18,0,1,2321,699,699,P027,69.9,0,0,699,1,2021
11,2021-02-27 00:00:00,27,0,2,3278,12999,12999,P020,1299.9,0,0,12999,1,2021
11,2021-03-04 00:00:00,4,0,3,1488,38997,12999,P020,3899.7000000000003,0,0,38997,3,2021
11,2021-03-05 00:00:00,5,0,3,3077,25497,8499,P015,2549.7000000000003,0,0,25497,3,2021
11,2021-03-08 00:00:00,8,0,3,196,14998,7499,P006,1499.8000000000002,0,0,14998,2,2021
11,2021-05-22 00:00:00,22,919.6,5,121,4597.8,2299,P018,459.78000000000003,0.2,PR001,4598,2,2021
11,2021-05-22 00:00:00,22,1999.6000000000001,5,3221,9997.8,4999,P014,999.78,0.2,PR001,9998,2,2021
11,2021-05-24 00:00:00,24,459.8,5,296,2298.8,2299,P018,229.88000000000002,0.2,PR001,2299,1,2021
11,2021-06-03 00:00:00,3,0,6,692,179998,89999,P003,17999.8,0,0,179998,2,2021
